,storage_flatten_timing,storage_copy_save_timing,storage_copy_load_timing,forward_takeshot_timing,forward_advance_timing,forward_lastfw_timing,reverse_reverse_timing,reverse_restore_timing,reverse_advance_timing,reverse_takeshot_timing,storage_flatten_counts,storage_copy_save_counts,storage_copy_load_counts,forward_takeshot_counts,forward_advance_counts,forward_lastfw_counts,reverse_reverse_counts,reverse_restore_counts,reverse_advance_counts,reverse_takeshot_counts,N_CKP
0,9.750236757099628,277139.176618075,427871.8850468285,16095.983090810478,20906.074828933924,328.76720605418086,648626.467036549,427959.8834239878,327219.1059880424,261121.14716740325,798,798,1102,16,16,1,552,551,535,383,16
0,10.711436392739415,384536.1970383674,442634.38033522107,195842.75186085145,86144.1285123583,316.64785114116967,656357.5786766596,442723.32066413946,252427.80645913444,188776.5101629775,846,846,1102,128,128,1,552,551,423,295,128
0,0.7671250496059656,22023.80442386493,430707.9254349228,1702.996399719268,12761.888607870787,317.28608906269073,549225.9494322352,430796.8844966963,548732.5003675651,20326.990220462903,64,64,1102,2,2,1,552,551,549,30,2
0,4.011428449302912,112163.45797432588,425710.67659859546,3709.489435888827,13872.43993789889,306.2600630801171,577087.5094146468,425797.4230747204,379522.4191690795,108485.39678100497,330,330,1102,4,4,1,552,551,547,161,4
0,8.186655817553401,228526.13059896976,431980.4420475848,7789.057258982211,16215.322689618915,312.13648384436965,638608.7539496366,432069.7608473711,346881.0333798174,220801.2083196081,660,660,1102,8,8,1,552,551,543,322,8
0,11.800774373114107,364951.71546493657,429746.8573853839,75079.94088926353,48395.7934093196,308.28067287802696,678207.9513652716,429835.6039160863,291730.2579933312,289967.1273936983,974,974,1102,64,64,1,552,551,487,423,64
0,13.047208078205584,365724.11831095815,429944.4310180843,32404.236685018983,30199.139152653515,313.2201759144664,690416.354304878,430032.57554303855,311304.4321304187,333422.4802767858,1038,1038,1102,32,32,1,552,551,519,487,32
