,storage_flatten_timing,storage_copy_save_timing,storage_copy_load_timing,forward_takeshot_timing,forward_advance_timing,forward_lastfw_timing,reverse_reverse_timing,reverse_restore_timing,reverse_advance_timing,reverse_takeshot_timing,N_CKP
0,9.697780944406986,276419.236157788,423851.1970078107,15749.925431096926,16405.756971333176,20.44635289348662,140336.61984838545,423935.6118170545,169644.6819747798,260745.11638307013,16
0,0.8120911661535501,21971.67881997302,422488.2982226554,1923.0906600132585,13689.690022030843,20.48490196466446,37985.88546621613,422572.48156447895,383925.11247401126,20054.91800699383,2
0,4.189069615676999,112033.05600211024,420419.6188347414,3879.429461900145,12984.585471916944,20.56997804902494,74250.57078409009,420503.7868940272,218275.37054684944,108185.30878564344,4
0,8.297852706164122,225846.08732839115,422031.5426683519,7798.870231257752,14132.242836989462,20.413541002199054,120981.5468462184,422116.0003503319,183357.95487719588,218110.0304527208,8
0,11.802805587649344,350062.1630898677,421787.1228063013,62879.76778415032,29818.32448160276,21.78420010022819,164745.85326202214,421870.7628487609,146365.64604053274,287275.5225261208,64
0,12.756896438077092,360934.4654791057,421068.2401063386,31475.093197310343,20870.17081398517,21.943753119558096,173668.55370090343,421150.7482766174,155956.7521540448,329557.3439155705,32
