,storage_flatten_timing,storage_copy_save_timing,storage_copy_load_timing,forward_takeshot_timing,forward_advance_timing,forward_lastfw_timing,reverse_reverse_timing,reverse_restore_timing,reverse_advance_timing,reverse_takeshot_timing,N_CKP
0,8.429437642917037,150269.6674321778,199365.05758785643,11190.17958175391,33583.57877703384,1407.7136570122093,1943759.7533995288,199449.2646479048,749079.1561880615,139150.80115851015,16
0,0.6823460571467876,11954.819421749562,199837.1621747501,1351.6787609551102,15345.218447968364,1392.3670421354473,1949627.2716755047,199922.5661533419,981442.329559708,10609.055993147194,2
0,3.4618922509253025,60824.10538592376,200253.87996132488,2787.0541422162205,16890.390751883388,1403.0333431437612,1979514.588159276,200338.29731913283,824984.2135969084,58066.3116206415,4
0,6.891184253618121,122439.55858424306,201114.13704208095,5514.270783634856,23548.119730781764,1395.000419113785,1972937.1889412869,201200.0918581616,780490.7949948683,116985.53869128229,8
0,10.370684787631037,198958.4897714667,200589.9141475093,44416.90252674744,99734.43896090612,1403.7056618835777,1966351.7653038723,200675.0649213791,684139.8976780474,154629.4669653289,64
0,10.927540017291903,200631.45116181116,201448.3221161645,21829.61749052629,56424.21715450473,1391.6392889805138,1971896.8444471247,201533.3657900337,731661.8147997651,178896.61660348065,32
